wheel station sector hw_phiz hw_phiz1 hw_phiz2 hw_phiz3 hw_dphiz1 hw_dphiz2 hw_dphiz3 hw_db
2 1 2 -0.20517 -0.20517 -0.08319 -0.13781 0.00000 -0.04951 0.06736 -0.06736
1 2 8 0.14723 0.14723 0.25144 0.02056 0.00000 0.18811 -0.12667 0.12667
0 1 7 -0.47838 -0.47838 -0.43543 -0.34111 0.00000 -0.36680 0.13727 -0.13727
1 1 7 0.56541 0.56541 0.51263 0.59415 0.00000 0.52701 0.02874 -0.02874
-2 2 3 0.07066 0.07066 0.62985 0.02670 0.00000 0.60787 -0.04396 0.04396
1 4 4 -0.39122 -0.39122 -0.39122 -0.46824 0.00000 0.00000 -0.07702 0.07702
2 1 8 -0.23314 -0.23314 -0.08999 -0.16723 0.00000 -0.05704 0.06591 -0.06591
0 1 11 0.41961 0.41961 0.55210 0.44335 0.00000 0.56397 0.02374 -0.02374
1 2 10 0.72994 0.72994 0.63375 0.62928 0.00000 0.58341 -0.10067 0.10067
-1 3 10 0.78079 0.78079 0.71636 0.81623 0.00000 0.73408 0.03545 -0.03545
1 2 5 -0.09810 -0.09810 0.08764 -0.16595 0.00000 0.05372 -0.06784 0.06784
-2 1 3 0.06719 0.06719 0.08627 0.09582 0.00000 0.10058 0.02863 -0.02863
0 2 1 0.30672 0.30672 0.62085 0.44104 0.00000 0.68801 0.13432 -0.13432
-2 2 11 0.33802 0.33802 1.10016 0.30015 0.00000 1.08123 -0.03787 0.03787
-2 3 2 0.48507 0.48507 0.28476 0.35876 0.00000 0.22160 -0.12632 0.12632
2 1 12 -0.41978 -0.41978 -0.33666 -0.38164 0.00000 -0.31759 0.03814 -0.03814
0 2 3 1.31183 1.31183 1.06273 1.05541 0.00000 0.93453 -0.25642 0.25642
-1 4 3 1.14266 1.14266 1.14266 1.15293 0.00000 0.00000 0.01026 -0.01026
-1 2 9 0.09056 0.09056 0.87834 0.04043 0.00000 0.85328 -0.05013 0.05013
-1 3 4 0.67178 0.67178 0.70322 0.76222 0.00000 0.74844 0.09044 -0.09044
-2 2 2 -0.83814 -0.83814 -0.63463 -0.93443 0.00000 -0.68277 -0.09629 0.09629
-2 4 5 0.18462 0.18462 0.18462 0.21028 0.00000 0.00000 0.02566 -0.02566
2 3 8 -0.10505 -0.10505 -0.20399 -0.18070 0.00000 -0.24181 -0.07565 0.07565
0 2 5 0.06321 0.06321 0.58252 -0.00527 0.00000 0.54828 -0.06848 0.06848
0 4 8 -0.15734 -0.15734 -0.15734 -0.12000 0.00000 0.00000 0.03734 -0.03734
-1 1 12 0.49449 0.49449 0.58014 0.52983 0.00000 0.59781 0.03534 -0.03534
-1 2 7 -0.70521 -0.70521 -0.10296 -0.78789 0.00000 -0.14430 -0.08268 0.08268
-2 3 11 -0.11027 -0.11027 -0.15395 -0.05177 0.00000 -0.12470 0.05850 -0.05850
