ch_phix ch_phiy ch_phiz ch_x ch_y ch_z sector sl1_phix sl1_phiy sl1_phiz sl1_x sl1_y sl1_z sl2_phix sl2_phiy sl2_phiz sl2_x sl2_y sl2_z sl3_phix sl3_phiy sl3_phiz sl3_x sl3_y sl3_z station wheel
-0.44733 0.00339 0.76683 -3.14987 11.37573 -7.59064 1 -0.44733 -1.67104 0.76758 -3.14953 11.41602 -7.59064 0.00796 -0.45875 0.71905 -11.19934 -3.28884 -8.75458 -0.54323 -2.54416 0.75405 -3.28163 10.94116 -9.23523 1 -2 
0.26487 -1.30842 -0.29848 -6.08330 10.35767 -2.23946 2 0.26487 0.48456 -0.29801 -6.23715 10.33142 -2.26058 1.47434 0.23780 -0.25251 -10.90210 -5.98163 -3.39302 0.33833 -0.28889 -0.23239 -6.00143 10.55725 -3.89819 1 -2 
-0.52082 -1.73746 0.06719 -5.81261 11.65894 4.13054 3 -0.52082 -1.00161 0.06681 -6.01670 11.71936 4.10257 1.77759 -0.41794 0.08627 -11.59607 -5.85491 2.91505 -0.46511 0.01536 0.09501 -5.59726 11.20728 2.46299 1 -2 
-0.50142 0.05122 0.54922 -2.59274 11.11023 9.08752 4 -0.50142 1.43272 0.54853 -2.58675 11.16089 9.08844 0.06345 -0.49635 0.54218 -10.94299 -2.63470 7.76276 -0.49817 1.76219 0.56563 -2.57004 10.98083 7.50671 1 -2 
-0.56160 1.91039 0.67758 4.34045 10.61707 6.71283 5 -0.56161 3.54746 0.67666 4.56486 10.67261 6.74325 -1.83915 -0.50952 0.66470 -10.71899 4.16821 5.23499 -0.56285 3.23302 0.70597 4.14450 10.46387 4.93117 1 -2 
-0.04396 1.82884 0.04295 5.24521 11.02539 1.29528 6 -0.04396 3.38310 0.04288 5.46002 11.02966 1.32452 -1.83151 0.00450 0.06592 -10.84717 5.02398 -0.12605 -0.02077 2.85696 0.06431 5.09525 10.63293 -0.37492 1 -2 
-0.35961 1.99606 -0.71347 2.12425 12.02209 -4.89929 7 -0.35961 3.14945 -0.71389 2.35886 12.07581 -4.86755 -1.90709 -0.43372 -0.69040 -12.06909 1.89163 -6.02325 -0.37455 2.67587 -0.66750 1.88869 11.72485 -6.37878 1 -2 
-0.14709 -2.12889 1.27450 -2.47734 21.86157 -3.50841 8 -0.14709 0.46836 1.27412 -2.72741 21.85852 -3.54269 2.18109 -0.15668 1.38997 -21.74133 -2.18307 -5.97022 -0.22875 -5.27874 1.32394 -2.18359 21.91223 -6.57568 1 -2 
-1.26720 -2.19409 1.90945 -1.45610 7.79663 2.23213 9 -1.26720 -2.49482 1.90983 -1.71416 7.91443 2.19661 2.26583 -1.21441 1.99053 -7.45300 -1.31961 1.14489 -1.30110 -2.23811 2.01497 -1.17143 7.83752 0.73076 1 -2 
-0.06316 0.27097 1.07769 0.97069 10.27771 5.88104 10 -0.06316 1.06892 1.07764 1.00254 10.26794 5.88531 -0.42231 -0.04244 1.07088 -9.84192 0.89478 3.46344 -0.06464 0.19799 1.17228 0.96214 9.78577 3.48877 1 -2 
-0.27339 2.98481 0.30800 4.40653 8.23608 -0.15881 11 -0.27340 4.64210 0.30755 4.75733 8.26294 -0.11150 -3.00745 -0.23397 0.38553 -8.04077 4.21290 -2.60569 -0.37045 5.15528 0.49769 3.99027 8.21655 -2.95041 1 -2 
-0.02916 2.82283 0.05342 2.23692 9.89136 -6.17946 12 -0.02916 5.00368 0.05336 2.56868 9.89380 -6.13487 -2.69516 -0.14474 0.03460 -10.03906 2.08869 -7.52518 -0.02532 4.04581 0.10206 1.94463 9.82971 -7.91563 1 -2 
-0.40188 0.00401 0.49825 -3.60817 7.13562 -8.97156 1 -0.40189 -0.41893 0.49842 -3.60769 7.19971 -8.97156 0.22477 -0.43566 0.80716 -7.21130 -2.77782 -9.37317 -0.55469 -0.50487 0.44991 -3.55759 6.65100 -10.17761 2 -2 
-0.04018 -1.69033 -0.83814 -4.77415 8.15186 -4.62649 2 -0.04018 -5.37717 -0.83799 -4.97293 8.12805 -4.56917 1.89357 -0.24988 -0.63463 -8.04749 -4.39389 -5.10434 -0.33319 -5.54873 -0.93318 -4.69597 8.28918 -5.87750 2 -2 
-1.08332 -2.04188 0.07066 -5.81409 10.30396 2.66552 3 -1.08333 -5.08150 0.07396 -6.05408 10.43335 2.73452 2.16648 -1.42074 0.62985 -10.45105 -5.46984 2.16690 -1.26774 -5.39993 0.03106 -5.91267 9.64783 1.56977 2 -2 
-0.07551 -1.09562 0.50345 -2.59296 12.61780 7.49481 4 -0.07551 -5.04011 0.50375 -2.72171 12.64404 7.53174 1.40990 -0.10940 0.97580 -12.50610 -2.27041 7.23328 -0.09807 -3.97116 0.36296 -2.57954 12.32300 6.56738 2 -2 
-0.08794 1.39659 -0.16911 4.53772 12.27905 6.13378 5 -0.08794 -2.03935 -0.16881 4.70165 12.28394 6.08600 -1.16222 -0.30576 0.46556 -12.46765 4.85892 5.53076 -0.05138 -1.59991 -0.25604 4.20864 11.52771 5.00656 2 -2 
-0.74926 1.91570 -0.42455 6.01996 12.66479 0.98425 6 -0.74926 -0.91690 -0.42242 6.24483 12.73865 0.91886 -1.65893 -0.97354 0.17637 -12.89978 6.19482 0.71802 -0.80966 -0.57839 -0.49130 5.52310 12.39136 -0.07716 2 -2 
-0.67005 1.41063 -0.27646 3.49371 12.27783 -6.06689 7 -0.67005 -1.14221 -0.27475 3.65946 12.34680 -6.11511 -1.20720 -0.71252 0.04134 -13.01880 4.01325 -6.57715 -0.56411 0.44049 -0.53011 3.11922 11.79443 -6.79810 2 -2 
-0.40006 -2.95410 0.23395 -0.38588 9.85413 -5.21243 8 -0.40006 -5.80241 0.23509 -0.73319 9.90906 -5.11269 2.87501 -0.63662 0.09813 -9.30054 0.23975 -5.75264 -0.33904 -4.59451 0.08880 -0.19840 8.91785 -5.81788 2 -2 
-0.44272 -2.32671 -0.43995 0.35830 9.34937 0.82777 9 -0.44272 -5.79472 -0.43842 0.08492 9.38660 0.90638 2.59487 -0.58730 0.22026 -9.53491 1.43349 0.36318 -0.47269 -4.60728 -0.46058 0.54516 8.73169 0.06772 2 -2 
-0.54455 0.30635 1.16144 1.47472 11.33301 2.24731 10 -0.54455 -0.21529 1.16173 1.51064 11.43677 2.23694 -0.48317 -0.58193 0.91010 -10.54199 0.89584 1.80054 -0.41920 0.07346 1.19703 1.16554 10.64392 1.49536 2 -2 
-0.47884 1.14649 0.33802 3.57195 9.60388 -0.27743 11 -0.47883 0.03861 0.33855 3.70646 9.67163 -0.31668 -1.12510 -0.42416 1.10016 -9.06311 5.10641 -0.81730 -0.45180 -1.42371 0.30128 3.41267 8.38440 -1.19541 2 -2 
0.28683 2.53585 0.43002 2.27971 10.96436 -6.79892 12 0.28683 -0.99528 0.42901 2.57736 10.94543 -6.88537 -2.52618 0.27974 1.02058 -10.01099 2.90467 -7.41386 0.35159 1.76018 0.45016 1.87031 10.15991 -7.82992 2 -2 
-0.35952 0.00407 0.26118 -1.85080 8.29041 -8.14819 1 -0.35952 -1.96576 0.26189 -1.85040 8.32214 -8.14819 0.10091 -0.33571 0.03579 -8.35083 -2.03899 -8.91479 -0.28243 -1.43417 0.13171 -1.71041 8.46741 -9.14001 3 -2 
0.18280 -1.85844 0.48507 -3.66688 10.80750 -2.44070 2 0.18280 -3.39836 0.48479 -3.85233 10.78186 -2.46894 1.72370 0.18448 0.28476 -10.68237 -3.80990 -3.61614 0.15175 -2.67761 0.35861 -3.46583 10.70068 -3.68793 3 -2 
-0.34630 -1.81384 0.61669 -3.77011 10.26367 3.82799 3 -0.34630 -1.93463 0.61673 -3.95058 10.28870 3.80062 1.61727 -0.35617 0.35536 -9.78149 -3.86001 2.51032 -0.28230 -0.13674 0.53921 -3.45941 10.72754 2.42375 3 -2 
