wheel station sector hw_x hw_x1 hw_x2 hw_x3 hw_dx13
2 1 2 1.83998 2.07504 -7.17468 1.65141 0.42364
1 2 8 0.96032 1.39673 -5.43060 0.40725 0.98948
0 1 7 -3.19721 -3.43266 5.21398 -2.95807 -0.47459
1 1 7 -2.18849 -2.18884 -4.59106 -2.03426 -0.15457
-2 2 3 -5.81409 -6.05408 -10.45105 -5.91267 -0.14142
1 4 4 -3.72742 -3.52051 -3.72742 -3.93112 0.41061
2 1 8 -0.43570 -0.04071 -5.74463 -0.79599 0.75528
0 1 11 -4.87695 -5.38405 -0.64047 -4.42818 -0.95586
1 2 10 -4.67999 -4.56823 -6.65100 -4.83797 0.26974
-1 3 10 5.42452 5.44863 -4.52606 5.42757 0.02106
1 2 5 -3.91023 -4.09823 -1.63452 -3.79613 -0.30210
-2 1 3 -5.81261 -6.01670 -11.59607 -5.59726 -0.41944
0 2 1 -1.70515 -1.70477 -2.84493 -2.00035 0.29558
-2 2 11 3.57195 3.70646 -9.06311 3.41267 0.29379
-2 3 2 -3.66688 -3.85233 -10.68237 -3.46583 -0.38650
2 1 12 -5.27114 -5.47850 -9.29077 -5.12173 -0.35677
0 2 3 6.85203 7.20334 2.15018 5.74890 1.45443
-1 4 3 2.24423 2.07649 2.24423 2.46645 -0.38996
-1 2 9 1.44835 1.07287 -6.24298 1.69571 -0.62284
-1 3 4 1.52596 1.43309 -9.86877 1.55304 -0.11995
-2 2 2 -4.77415 -4.97293 -8.04749 -4.69597 -0.27695
-2 4 5 3.31112 3.37926 3.31112 3.24483 0.13443
2 3 8 -1.18274 -0.92001 -5.84473 -1.49057 0.57056
0 2 5 6.82743 7.08947 -3.28016 6.50728 0.58218
0 4 8 0.86592 0.89565 0.86592 1.06285 -0.16720
-1 1 12 6.35914 6.59594 -5.15930 5.98817 0.60777
-1 2 7 5.52065 5.52015 -5.62500 5.37214 0.14801
-2 3 11 3.62293 3.85804 -6.22070 3.19962 0.65843
-2 3 6 6.68766 6.84536 -11.43799 6.62346 0.22190
-1 4 9 4.43225 4.24851 4.43225 4.55125 -0.30274
-2 4 7 4.92401 4.92378 4.92401 5.01541 -0.09163
0 1 8 -2.28297 -2.81019 -13.33258 -1.73267 -1.07751
