label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-2_1_01 -2 1 1    -0.0175772 0.00982741  -0.0337971 0.156529   -0.0626404 0.16064    0.2248 0.0623239  -0.324408 0.597693  -0.234121 0.0811628  1.24544 0.0737819  -0.296761 0.138629    -0.0679929 0.19066  -0.557047 0.161276    0.220413 0.0626159  0.436074 0.631895  -0.415423 0.611348  -0.198725 0.0961752    1.24735 0.0738254  -1.08279 1.00969  -1.20587 1.21827    1.2983 0.0747227  0.447373 0.102401  -1.44102 1.01276  -1.61219 1.22151
MB-2_1_02 -2 1 2    -0.0123464 0.0107499  -0.388929 0.170633   1.41673 0.172888    0.412593 0.0715766  0.541772 0.651339  -0.213861 0.087972  0.933145 0.0797229  1.20287 0.148833    -0.831663 0.207043  -0.440973 0.177097    0.417333 0.0725179  -0.26835 0.659338  0.59686 0.665248  -0.238854 0.107284    0.913862 0.0798628  -3.63131 1.08405  -3.74969 1.29511    1.00401 0.0821649  0.520167 0.112055  -3.31268 1.08586  -3.40939 1.29675
MB-2_1_03 -2 1 3    0.0387594 0.0103954  0.104569 0.16286   0.6536 0.161631    0.295989 0.0679641  0.422885 0.62017  -0.164555 0.0855641  1.4177 0.0760671  0.489045 0.137125    -0.0146624 0.199098  0.544914 0.169958    0.287596 0.0683346  0.731906 0.624332  0.25954 0.635628  -0.106722 0.0987673    1.4191 0.0761435  0.0116803 1.00711  -0.00189635 1.21027    1.54356 0.0788679  0.653133 0.108645  -0.539575 1.01073  -0.620879 1.214
MB-2_1_04 -2 1 4    0.00289105 0.00938511  -0.224726 0.154248   1.09442 0.153807    0.244793 0.0601738  0.830373 0.593106  -0.31998 0.0771899  0.621887 0.0718826  0.774437 0.133035    -0.191767 0.182602  -0.267033 0.153572    0.235452 0.0604027  1.03667 0.588093  0.630857 0.603752  -0.24027 0.0894626    0.618292 0.0719487  1.91021 0.958509  2.07358 1.16078    0.70842 0.0726461  0.851817 0.0991662  0.905396 0.964769  0.910603 1.16762
MB-2_1_05 -2 1 5    0.0319734 0.00949614  -0.00293244 0.15016   -1.03208 0.150655    0.0848679 0.0607053  -0.0443025 0.572434  -0.152346 0.0771092  0.557147 0.0706151  -1.18442 0.129426    -0.783754 0.184375  0.432266 0.155569    0.0790865 0.0611016  0.47263 0.575015  -0.10482 0.577038  -0.110138 0.0926762    0.558336 0.070686  0.314203 0.934901  -0.752445 1.13386    0.620104 0.0713973  0.590555 0.0981797  0.141434 0.934932  -0.996948 1.13409
MB-2_1_06 -2 1 6    0.00401698 0.0100613  -0.448345 0.15366   2.22456 0.151738    -0.0258966 0.0643177  2.25126 0.581542  -0.285423 0.0830628  -1.45992 0.0711761  1.93914 0.126985    0.252044 0.192317  -0.211803 0.164627    -0.0511837 0.0647162  2.08913 0.59999  1.8025 0.595557  -0.120843 0.0955589    -1.45889 0.0711939  1.74075 0.944701  1.32946 1.13543    -1.43619 0.073985  0.118828 0.104784  1.59968 0.952818  1.16491 1.14461
MB-2_1_07 -2 1 7    0.0298718 0.00946003  -0.0769516 0.150233   0.228732 0.148774    -0.98713 0.0587883  -1.36297 0.573891  -0.0536093 0.0776271  -0.332413 0.0681576  0.175123 0.126916    -2.36809 0.182437  0.492862 0.154674    -0.997142 0.0592151  0.832902 0.589611  -1.52528 0.585283  0.0156048 0.0917966    -0.333615 0.0681559  0.708265 0.948347  2.649 1.1398    -0.276017 0.0693459  0.43911 0.0982524  0.422166 0.950287  2.31013 1.14206
MB-2_1_08 -2 1 8    0.0398551 0.00939942  -0.0877192 0.153462   1.64325 0.149129    0.565438 0.0593941  1.50729 0.589121  -0.458399 0.0767428  1.44187 0.0689985  1.18485 0.127867    0.224504 0.182683  0.274018 0.154749    0.582705 0.0597982  -1.4177 0.572422  1.71659 0.595112  -0.567704 0.0885241    1.44147 0.0690362  1.33061 0.939276  0.973573 1.13212    1.52824 0.070293  0.635563 0.0980037  0.820546 0.94212  0.332159 1.13589
MB-2_1_09 -2 1 9    0.0225215 0.0110491  0.139678 0.19624   -0.397904 0.182762    0.755367 0.0742193  -0.394339 0.766303  -0.480154 0.0907445  1.16998 0.0861142  -0.878058 0.158642    -0.314524 0.215372  -0.0658025 0.181904    0.754494 0.0743956  0.105746 0.691211  -0.420069 0.782819  -0.472583 0.103749    1.16068 0.0863932  1.04984 1.08322  0.858453 1.31206    1.22351 0.0878805  0.447228 0.115357  0.374982 1.09682  0.0980531 1.32627
MB-2_1_10 -2 1 10    -0.0355745 0.0114288  -0.290064 0.202787   1.71841 0.197812    1.11551 0.0787027  1.18944 0.790348  -0.408866 0.0951092  -0.0510281 0.0934843  1.30955 0.173447    0.771511 0.226265  -1.06737 0.188967    1.10999 0.0788665  0.801527 0.744265  1.01029 0.807636  -0.34634 0.111427    -0.0429127 0.09388  0.082918 1.17465  -0.0242412 1.42643    -0.0275142 0.0940076  0.351875 0.119454  -0.32568 1.18266  -0.472437 1.43433
MB-2_1_11 -2 1 11    0.0357245 0.012157  -0.0869863 0.206719   0.326899 0.209401    0.38437 0.0801482  -0.0233552 0.798378  -0.55237 0.0994011  0.917022 0.0960997  -0.225471 0.184305    -1.21296 0.242119  0.108498 0.201733    0.383306 0.0803994  0.137966 0.788141  -0.037178 0.802899  -0.539587 0.123734    0.920799 0.0961509  1.45035 1.2653  1.56113 1.54488    0.924566 0.0961335  0.416981 0.124086  1.39601 1.26508  1.47799 1.54468
