label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-2_1_01 -2 1 1    -0.00754596 0.00984022  -0.0199501 0.156781   -0.0955477 0.160807    0.210145 0.0624121  -0.375665 0.598741  -0.239845 0.0811898  1.22832 0.0738854  -0.335393 0.138806    -0.288777 0.190839  -0.378447 0.161479    0.20727 0.0627142  0.297137 0.631211  -0.436407 0.612562  -0.215657 0.096137    1.23045 0.0739274  -1.23666 1.00958  -1.3673 1.21789    1.29075 0.0748509  0.520543 0.102529  -1.65442 1.01259  -1.84145 1.22106
MB-2_1_02 -2 1 2    -0.00147952 0.0107593  -0.246649 0.170981   0.794074 0.17272    0.356892 0.0717345  -0.0108982 0.652857  -0.247729 0.0880524  0.922578 0.0796362  0.546345 0.14859    -1.02673 0.20721  -0.274944 0.177244    0.364127 0.0726616  -0.409656 0.658995  0.0717225 0.666305  -0.285891 0.107334    0.906564 0.0797843  -3.45354 1.08123  -3.53998 1.29198    0.99854 0.0820871  0.530109 0.111916  -3.12647 1.08306  -3.19101 1.29363
MB-2_1_03 -2 1 3    0.00936191 0.0104078  0.0937041 0.163359   0.719547 0.162072    0.294021 0.0681085  0.458433 0.622317  -0.157051 0.0856453  1.43022 0.0763153  0.562496 0.137595    0.64398 0.199439  0.0143434 0.17021    0.290203 0.0684655  0.339572 0.624968  0.385153 0.637079  -0.130183 0.0988236    1.43057 0.076384  0.34899 1.0104  0.431828 1.21438    1.54458 0.0790597  0.604186 0.10881  -0.157254 1.01406  -0.138265 1.21818
MB-2_1_04 -2 1 4    0.0013982 0.00938313  -0.19342 0.154124   0.91863 0.15397    0.230599 0.0601166  0.675947 0.592536  -0.302395 0.0772116  0.637603 0.0719375  0.616235 0.133211    -0.178973 0.182576  -0.276785 0.153543    0.219131 0.0603436  1.27746 0.588636  0.430602 0.603164  -0.204058 0.0895258    0.633855 0.0720027  1.81443 0.960952  1.98578 1.16362    0.72413 0.0726987  0.85472 0.0993104  0.811025 0.967146  0.824525 1.17038
MB-2_1_05 -2 1 5    0.00777504 0.00948304  -0.0641842 0.149887   -0.63193 0.150543    0.141188 0.0606163  0.219012 0.571356  -0.177455 0.0770132  0.518929 0.0706295  -0.809385 0.129353    -0.230864 0.184084  -0.0353249 0.155307    0.133872 0.0610116  0.596691 0.574347  0.142158 0.576031  -0.124277 0.0924626    0.520297 0.0706989  0.627044 0.934693  -0.317487 1.13413    0.580028 0.0714083  0.572875 0.0982591  0.437769 0.93481  -0.580201 1.13448
MB-2_1_06 -2 1 6    0.00059003 0.0100689  -0.403022 0.153628   1.97901 0.151647    -0.025908 0.0643919  2.06319 0.581215  -0.292935 0.0831769  -1.43509 0.0711275  1.68608 0.1268    0.334776 0.192536  -0.282118 0.164796    -0.0528495 0.0647835  2.23768 0.599934  1.58354 0.595155  -0.116941 0.0956115    -1.43357 0.0711449  1.17137 0.942984  0.620687 1.13363    -1.40826 0.0739153  0.132015 0.104778  1.01354 0.95129  0.436624 1.14303
MB-2_1_07 -2 1 7    0.00441469 0.00946458  -0.173994 0.150399   0.757653 0.148784    -0.963467 0.0588152  -0.94157 0.574608  -0.0661021 0.077648  -0.319704 0.0680623  0.691551 0.126915    -1.78212 0.182543  0.0146569 0.15475    -0.973795 0.0592422  0.85874 0.59067  -1.10851 0.585961  0.0054481 0.091921    -0.320321 0.0680624  0.344711 0.947575  2.22827 1.13913    -0.263619 0.0692401  0.434317 0.0980486  0.0670624 0.949437  1.89898 1.1413
MB-2_1_08 -2 1 8    0.00892277 0.00938726  -0.0972241 0.153345   1.55947 0.14908    0.573993 0.0593972  1.49592 0.588706  -0.430195 0.0766336  1.43905 0.0690005  1.12927 0.127875    0.878533 0.182511  -0.266185 0.154596    0.585589 0.0598075  -0.946769 0.571977  1.63678 0.59481  -0.503457 0.0884934    1.43879 0.0690375  1.37285 0.937747  0.982185 1.13043    1.53302 0.0702758  0.691362 0.0978242  0.833439 0.940317  0.302798 1.13387
MB-2_1_09 -2 1 9    0.00704041 0.0110686  0.173901 0.196489   -0.618901 0.182537    0.771962 0.0742979  -0.56125 0.767191  -0.470394 0.0909138  1.20032 0.0859148  -1.08929 0.158286    0.0178813 0.215757  -0.34085 0.182244    0.770131 0.0744782  0.218984 0.691908  -0.614696 0.78383  -0.454735 0.103867    1.18833 0.086188  1.30787 1.08077  1.15795 1.30896    1.25602 0.0876853  0.478812 0.115164  0.580247 1.09449  0.337511 1.32332
MB-2_1_10 -2 1 10    -0.00848763 0.0114187  -0.194217 0.202794   1.34498 0.197642    1.12701 0.0786676  0.827881 0.790477  -0.449397 0.0951097  -0.0513888 0.0933909  0.895579 0.173252    0.196257 0.226119  -0.60655 0.188823    1.12296 0.0788306  0.590916 0.743821  0.694279 0.808147  -0.403263 0.111434    -0.0516125 0.0938104  0.876259 1.17142  0.954169 1.42252    -0.0339183 0.0939304  0.410398 0.1193  0.402782 1.17919  0.436234 1.4301
MB-2_1_11 -2 1 11    0.00624951 0.0121649  -0.219763 0.206426   1.21724 0.209228    0.411663 0.0800483  0.559764 0.796883  -0.578585 0.0993705  0.967031 0.0960143  0.63866 0.184124    -0.518761 0.242294  -0.462968 0.201927    0.408564 0.0802981  0.382456 0.787482  0.518802 0.801278  -0.542983 0.12369    0.967273 0.0960714  0.574534 1.26606  0.656426 1.54466    0.971074 0.0960613  0.372946 0.124103  0.531985 1.26588  0.589416 1.54451
