label wheel station sector db edb dai edai dphizsl2 edphizsl2 x_100011 ex_100011 phiy_100011 ephiy_100011 phiz_100011 ephiz_100011 y_010001 ey_010001 phiz_010001 ephiz_010001 phiy_000011 ephiy_000011 phiz_000011 ephiz_000011 x_100111 ex_100111 phix_100111 ephix_100111 phiy_100111 ephiy_100111 phiz_100111 ephiz_100111 y_010011 ey_010011 phiy_010011 ephiy_010011 phiz_010011 ephiz_010011 y_010111 ey_010111 phix_010111 ephix_010111 phiy_010111 ephiy_010111 phiz_010111 ephiz_010111
MB-2_1_01 -2 1 1    -0.0175674 0.00982695  -0.0376183 0.156421   -0.0395357 0.160599    0.228373 0.0623158  -0.308929 0.597185  -0.234871 0.0811462  1.25405 0.0737809  -0.274407 0.138591    -0.0689748 0.190658  -0.557637 0.161288    0.224665 0.0626113  0.36728 0.63168  -0.385556 0.610864  -0.205042 0.0961822    1.25579 0.0738234  -1.01144 1.00999  -1.11648 1.21853    1.30631 0.0747264  0.442405 0.102433  -1.36216 1.013  -1.51432 1.22171
MB-2_1_02 -2 1 2    -0.0122732 0.0107459  -0.380533 0.170563   1.38239 0.172819    0.406788 0.0715822  0.507533 0.651076  -0.214716 0.0879547  0.935772 0.0797101  1.16767 0.148763    -0.831867 0.206956  -0.440466 0.177009    0.411422 0.0725127  -0.263751 0.659114  0.5614 0.664843  -0.239297 0.10728    0.916763 0.0798483  -3.62905 1.08296  -3.74189 1.29391    1.00667 0.0821315  0.520637 0.111986  -3.30883 1.08479  -3.39942 1.29557
MB-2_1_03 -2 1 3    0.038721 0.0103968  0.10581 0.16292   0.640636 0.16168    0.299449 0.0679598  0.41259 0.62044  -0.162438 0.0855889  1.42172 0.0760772  0.478198 0.137167    -0.0188008 0.199114  0.546327 0.169975    0.290948 0.0683273  0.744696 0.624657  0.246143 0.635972  -0.103669 0.0987673    1.42323 0.0761569  -0.0237281 1.00761  -0.0427594 1.21088    1.54937 0.0788929  0.660942 0.108692  -0.585659 1.01131  -0.673267 1.21467
MB-2_1_04 -2 1 4    0.00318616 0.00938691  -0.222707 0.154277   1.09736 0.15389    0.239776 0.0601706  0.820652 0.593227  -0.317401 0.0771961  0.619372 0.071905  0.779954 0.133127    -0.199617 0.182612  -0.259053 0.153596    0.230359 0.060399  1.04632 0.588113  0.619381 0.603861  -0.236901 0.0894828    0.615874 0.0719713  1.87133 0.95925  2.04388 1.16156    0.705686 0.0726802  0.84357 0.0992282  0.878799 0.965498  0.895547 1.16838
MB-2_1_05 -2 1 5    0.0304658 0.00949099  -0.0141046 0.149999   -0.972538 0.150673    0.102485 0.0606676  0.00516075 0.571747  -0.161724 0.0770371  0.552685 0.0707009  -1.13426 0.12949    -0.747555 0.184276  0.395317 0.155498    0.0937607 0.061064  0.716336 0.573714  -0.085325 0.576285  -0.0977172 0.0925263    0.552987 0.0707737  0.0796799 0.935456  -1.04435 1.13451    0.615294 0.0714926  0.593728 0.0983218  -0.0974636 0.935508  -1.29476 1.13477
MB-2_1_06 -2 1 6    0.00345121 0.0100528  -0.432554 0.153491   2.17731 0.151691    -0.0336369 0.0642808  2.20236 0.580861  -0.298735 0.0829883  -1.46597 0.0711735  1.87857 0.126977    0.283206 0.192146  -0.235482 0.164496    -0.0580635 0.064684  2.00669 0.599351  1.76901 0.595018  -0.140288 0.0955234    -1.46513 0.0711926  1.73227 0.944128  1.3171 1.13472    -1.44277 0.0739979  0.116017 0.104762  1.59636 0.952084  1.15878 1.1437
MB-2_1_07 -2 1 7    0.0297085 0.00947216  -0.0973995 0.150451   0.337074 0.14887    -0.982835 0.058845  -1.28017 0.574759  -0.0508261 0.077735  -0.340541 0.0681497  0.286248 0.126963    -2.36854 0.182649  0.492622 0.154856    -0.99281 0.0592809  0.82244 0.590779  -1.44192 0.586389  0.0177013 0.0920089    -0.341609 0.0681489  0.577544 0.948466  2.50477 1.1398    -0.282633 0.0693386  0.449708 0.0982514  0.291721 0.950296  2.16645 1.14193
MB-2_1_08 -2 1 8    0.0405226 0.00939349  -0.0791366 0.153363   1.56234 0.149132    0.558922 0.0593806  1.45742 0.588744  -0.446909 0.0767077  1.4368 0.0690076  1.11543 0.127891    0.195925 0.18255  0.297769 0.154643    0.574286 0.0597901  -1.25288 0.571888  1.64442 0.594867  -0.543534 0.0884802    1.43649 0.0690444  1.31382 0.939153  0.943785 1.13181    1.52419 0.0703052  0.640206 0.0979803  0.801058 0.94197  0.299155 1.13555
MB-2_1_09 -2 1 9    0.0229598 0.0110589  0.121301 0.196373   -0.309221 0.182779    0.763079 0.0742728  -0.321887 0.766787  -0.476084 0.0908271  1.17189 0.086122  -0.785305 0.158615    -0.330297 0.215566  -0.0536628 0.182066    0.762011 0.0744499  0.124837 0.691616  -0.352739 0.783351  -0.467204 0.103796    1.16367 0.086402  0.954275 1.08307  0.749221 1.31191    1.22531 0.0878946  0.437994 0.115419  0.28973 1.09686  0.000344498 1.32633
MB-2_1_10 -2 1 10    -0.0353724 0.011438  -0.248801 0.203116   1.59672 0.197939    1.12402 0.0788006  1.03483 0.791761  -0.434129 0.0952016  -0.0412274 0.0935193  1.16259 0.173541    0.78783 0.226441  -1.08886 0.189103    1.11859 0.0789597  0.801884 0.745246  0.856172 0.808955  -0.371518 0.111574    -0.034849 0.093922  0.190762 1.17435  0.145039 1.4263    -0.018375 0.0940464  0.379899 0.119446  -0.250301 1.18226  -0.338489 1.43407
MB-2_1_11 -2 1 11    0.0366312 0.0121704  -0.13722 0.207206   0.556874 0.209474    0.364293 0.080241  0.180528 0.800445  -0.533078 0.0995045  0.94738 0.0960977  0.0237957 0.184331    -1.24372 0.242455  0.144613 0.201976    0.361283 0.0804844  0.381442 0.788779  0.139779 0.804936  -0.497649 0.123763    0.949748 0.0961487  1.09738 1.26528  1.13567 1.54513    0.952935 0.0961315  0.401755 0.124081  1.03692 1.26512  1.0461 1.54501
MB-2_1_12 -2 1 12    -0.0201994 0.0094718  0.154047 0.156143   -2.47506 0.153385    0.252905 0.0602624  -1.69698 0.601173  0.307204 0.0784212  1.06899 0.0715384  -2.16786 0.131822    -0.581773 0.183328  -0.063813 0.155299    0.246568 0.060494  0.713159 0.596697  -1.83746 0.612514  0.361611 0.0906725    1.05944 0.0716128  0.948487 0.947366  1.00397 1.14349    1.09099 0.0728793  0.23313 0.100155  0.609359 0.958444  0.61142 1.15579
MB-1_1_01 -1 1 1    -0.000227841 0.00608037  -0.019141 0.0936749   -0.0932383 0.0797159    0.468442 0.0402406  0.00589947 0.387797  -0.11647 0.0489663  0.421932 0.0350145  -0.209708 0.0629041    -0.0729507 0.0607484  -0.120657 0.100428    0.46498 0.040274  0.740539 0.36535  -0.0427043 0.388528  -0.0589243 0.0566144    0.421705 0.0350146  -0.528016 0.428921  -0.531516 0.266069    0.408416 0.0352168  0.319648 0.0912505  -0.683039 0.431162  -0.625901 0.267406
MB-1_1_02 -1 1 2    0.0129216 0.00578982  -0.378281 0.0874818   0.433845 0.0762014    -0.110723 0.0374221  0.493876 0.361751  0.0339351 0.0467021  -0.631511 0.0328204  0.46778 0.0602127    -1.26325 0.0579049  0.271133 0.0954714    -0.112518 0.0374536  0.410575 0.355594  0.462983 0.362724  0.0673549 0.0549772    -0.630772 0.0328195  -0.810113 0.422258  -0.320557 0.262285    -0.633392 0.0330294  0.0615257 0.0872174  -0.827349 0.422957  -0.33066 0.262668
MB-1_1_03 -1 1 3    0.213087 0.00747748  0.236716 0.0952861   0.103415 0.0895235    0.264601 0.0407374  0.401057 0.38693  -0.0986218 0.0607482  0.645549 0.0363247  0.00479289 0.065758    -1.19906 0.0795059  3.81063 0.122996    0.2633 0.0407744  0.329897 0.455277  0.38174 0.387806  -0.0719129 0.071122    0.645514 0.0363247  0.40194 0.55361  0.00537173 0.366534    0.635539 0.0363633  0.597401 0.109247  0.233922 0.554353  -0.104359 0.367011
MB-1_1_04 -1 1 4    -0.0412209 0.00546878  -0.177039 0.0816478   0.230205 0.0720214    -0.0892729 0.0361403  0.603606 0.337489  -0.0674781 0.044075  -0.74479 0.0314278  0.162727 0.0569603    0.320528 0.054047  -0.822869 0.0900055    -0.0926568 0.0362086  0.498509 0.328581  0.550579 0.33929  -0.0242825 0.0524698    -0.744447 0.0314283  0.0106203 0.391535  -0.191664 0.240814    -0.747831 0.0315113  0.122266 0.0827183  -0.013144 0.391862  -0.205387 0.240992
MB-1_1_05 -1 1 5    0.0168199 0.0054016  0.0379074 0.080182   0.0176502 0.0711849    -0.266887 0.0354821  0.275899 0.331256  -0.248062 0.0436222  -0.472094 0.0310372  -0.230412 0.056253    0.24509 0.0536657  0.0601924 0.0888648    -0.274255 0.0355286  1.28301 0.32525  0.161375 0.332502  -0.137844 0.0517994    -0.472117 0.0310372  0.412193 0.388652  -0.148479 0.240581    -0.481303 0.0311679  0.262886 0.0820115  0.341116 0.389261  -0.190494 0.240926
MB-1_1_06 -1 1 6    -0.00623626 0.00551453  -0.291164 0.0816654   1.4937 0.0723785    -1.20614 0.0362106  2.41581 0.337347  -0.437255 0.0444789  -0.644378 0.0315493  1.05644 0.0570988    1.24806 0.054715  -0.551687 0.0908888    -1.2093 0.0362742  0.56422 0.332635  2.35944 0.339042  -0.3878 0.0532046    -0.641442 0.0315429  -0.476102 0.394785  -0.67985 0.243811    -0.631684 0.0316495  -0.311317 0.0837015  -0.406753 0.395196  -0.641015 0.244017
MB-1_1_07 -1 1 7    0.00766836 0.0055106  0.08664 0.081666   -0.114643 0.0719559    -1.26785 0.0362853  -1.56359 0.337291  -0.01499 0.044382  -0.221195 0.0313487  -0.129633 0.0566383    -1.28263 0.0550213  0.125856 0.0909641    -1.27165 0.0363275  0.705424 0.331158  -1.62251 0.338396  0.046224 0.0528958    -0.221357 0.0313479  -0.648312 0.391014  0.422373 0.242529    -0.234318 0.0315079  0.334093 0.0825787  -0.711267 0.391294  0.38522 0.242685
MB-1_1_08 -1 1 8    0.0124799 0.00557575  0.13192 0.0844804   -0.0674896 0.0724079    -0.359793 0.0371442  0.10644 0.349406  -0.142992 0.0450109  0.746235 0.0317281  -0.210482 0.0567179    0.525132 0.0555528  0.086161 0.0919556    -0.359901 0.0371877  0.0335554 0.332829  0.10342 0.350693  -0.140294 0.0521638    0.746088 0.031729  0.352133 0.392407  -0.062649 0.242834    0.732455 0.0318624  0.388306 0.0839699  0.23152 0.393227  -0.13301 0.243281
MB-1_1_09 -1 1 9    0.0674022 0.0057789  0.128454 0.0879399   -0.156036 0.0759381    0.479101 0.0384607  -0.226477 0.363914  -0.038948 0.0466281  0.244211 0.0328657  -0.194984 0.0599368    -0.446708 0.0572613  1.19234 0.0947117    0.476574 0.0385171  0.414681 0.352865  -0.254292 0.364645  -0.00406906 0.05532    0.245664 0.032872  0.66407 0.413404  0.341666 0.256262    0.230297 0.0330284  0.409586 0.0864437  0.622362 0.41343  0.311521 0.25628
MB-1_1_10 -1 1 10    -0.0304234 0.00597568  -0.102458 0.0874058   0.436279 0.0781543    0.383833 0.0382523  0.176866 0.360921  0.0928698 0.0479103  0.0847835 0.0336212  0.529148 0.061747    0.0860225 0.0589831  -0.4624 0.0979781    0.379055 0.0383277  0.717304 0.364533  0.113702 0.362322  0.154659 0.0572955    0.0846899 0.0336223  0.0324969 0.430282  0.442599 0.26526    0.0829022 0.0337523  0.0539568 0.0898852  0.0221147 0.430626  0.436068 0.265484
MB-1_1_11 -1 1 11    0.000449832 0.00600093  -0.0780134 0.0894153   0.135919 0.079136    0.320448 0.0384402  -0.489283 0.369484  -0.0903812 0.0482287  0.279459 0.0340614  0.0455378 0.0627415    -0.82637 0.0599813  -0.0821631 0.0984537    0.319701 0.0384759  0.162831 0.367198  -0.498978 0.370154  -0.0759616 0.0580995    0.279861 0.0340613  0.327726 0.435723  0.541095 0.271634    0.277521 0.0343603  0.0465568 0.0899272  0.317091 0.43621  0.534446 0.271943
