label wheel station sector signx signy signz r phi z
MB+0_1_01 0 1 1 1 -1 -1 4329.460 0.0904811 8.500
MB+0_1_02 0 1 2 -1 1 -1 4329.460 0.6140800 -8.500
MB+0_1_03 0 1 3 -1 1 -1 4329.460 1.1376800 -8.500
MB+0_1_04 0 1 4 1 -1 -1 4329.460 1.6612800 8.500
MB+0_1_05 0 1 5 1 -1 -1 4329.460 2.1848800 8.500
MB+0_1_06 0 1 6 -1 1 -1 4329.460 2.7084700 -8.500
MB+0_1_07 0 1 7 -1 1 -1 4329.460 -3.0511100 -8.500
MB+0_1_08 0 1 8 1 -1 -1 4329.460 -2.5275100 8.500
MB+0_1_09 0 1 9 1 -1 -1 4329.460 -2.0039100 8.500
MB+0_1_10 0 1 10 -1 1 -1 4329.460 -1.4803200 -8.500
MB+0_1_11 0 1 11 -1 1 -1 4329.460 -0.9567160 -8.500
MB+0_1_12 0 1 12 1 -1 -1 4329.460 -0.4331180 8.500
MB+0_2_01 0 2 1 1 -1 -1 5129.230 -0.0417923 8.500
MB+0_2_02 0 2 2 -1 1 -1 5129.230 0.4818060 -8.500
MB+0_2_03 0 2 3 -1 1 -1 5129.230 1.0054100 -8.500
MB+0_2_04 0 2 4 1 -1 -1 5129.230 1.5290000 8.500
MB+0_2_05 0 2 5 1 -1 -1 5129.230 2.0526000 8.500
MB+0_2_06 0 2 6 -1 1 -1 5129.230 2.5762000 -8.500
MB+0_2_07 0 2 7 -1 1 -1 5129.230 3.0998000 -8.500
MB+0_2_08 0 2 8 1 -1 -1 5129.230 -2.6597900 8.500
MB+0_2_09 0 2 9 1 -1 -1 5129.230 -2.1361900 8.500
MB+0_2_10 0 2 10 -1 1 -1 5129.230 -1.6125900 -8.500
MB+0_2_11 0 2 11 -1 1 -1 5129.230 -1.0889900 -8.500
MB+0_2_12 0 2 12 1 -1 -1 5129.230 -0.5653910 8.500
MB+0_3_01 0 3 1 1 -1 -1 6182.690 0.0357202 8.500
MB+0_3_02 0 3 2 -1 1 -1 6182.690 0.5593190 -8.500
MB+0_3_03 0 3 3 -1 1 -1 6182.690 1.0829200 -8.500
MB+0_3_04 0 3 4 1 -1 -1 6182.690 1.6065200 8.500
MB+0_3_05 0 3 5 1 -1 -1 6182.690 2.1301200 8.500
MB+0_3_06 0 3 6 -1 1 -1 6182.690 2.6537100 -8.500
MB+0_3_07 0 3 7 -1 1 -1 6182.690 -3.1058700 -8.500
MB+0_3_08 0 3 8 1 -1 -1 6182.690 -2.5822700 8.500
MB+0_3_09 0 3 9 1 -1 -1 6182.690 -2.0586800 8.500
MB+0_3_10 0 3 10 -1 1 -1 6182.690 -1.5350800 -8.500
MB+0_3_11 0 3 11 -1 1 -1 6182.690 -1.0114800 -8.500
MB+0_3_12 0 3 12 1 -1 -1 6182.690 -0.4878790 8.500
MB+0_4_01 0 4 1 1 -1 -1 7264.250 -0.1310070 8.500
MB+0_4_02 0 4 2 -1 1 -1 7264.250 0.3925910 -8.500
MB+0_4_03 0 4 3 -1 1 -1 7264.250 0.9161900 -8.500
MB+0_4_04 0 4 4 1 -1 -1 7379.220 1.3511900 8.500
MB+0_4_05 0 4 5 1 -1 -1 7264.250 2.2254000 8.500
MB+0_4_06 0 4 6 -1 1 -1 7264.250 2.7490000 -8.500
MB+0_4_07 0 4 7 -1 1 -1 7264.250 -3.0105900 -8.500
