wheel station sector hw_x sw_x1 sw_x2 sw_x3 sw_dx13
2 1 2 1.83998 2.18868 -7.17468 1.53586 0.65282
1 2 8 0.96032 1.57069 -5.43060 0.23179 1.33889
0 1 7 -3.19721 -3.27782 5.21398 -3.11539 -0.16243
1 1 7 -2.18849 -2.44942 -4.59106 -1.76949 -0.67993
-2 2 3 -5.81409 -6.01184 -10.45105 -5.95533 -0.05651
1 4 4 -3.72742 -3.66592 -3.72742 -3.73032 0.06439
2 1 8 -0.43570 -0.18198 -5.74463 -0.65255 0.47057
0 1 11 -4.87695 -5.86068 -0.64047 -3.94375 -1.91693
1 2 10 -4.67999 -4.68430 -6.65100 -4.72082 0.03653
-1 3 10 5.42452 5.44580 -4.52606 5.43144 0.01436
1 2 5 -3.91023 -4.08729 -1.63452 -3.80707 -0.28022
-2 1 3 -5.81261 -5.96448 -11.59607 -5.65044 -0.31404
0 2 1 -1.70515 -1.86449 -2.84493 -1.83914 -0.02535
-2 2 11 3.57195 3.36454 -9.06311 3.75773 -0.39320
-2 3 2 -3.66688 -4.11514 -10.68237 -3.10539 -1.00975
2 1 12 -5.27114 -5.68594 -9.29077 -4.91102 -0.77491
0 2 3 6.85203 7.16423 2.15018 5.78827 1.37597
-1 4 3 2.24423 2.12517 2.24423 2.39945 -0.27428
-1 2 9 1.44835 1.09323 -6.24298 1.67493 -0.58170
-1 3 4 1.52596 1.32326 -9.86877 1.70370 -0.38044
-2 2 2 -4.77415 -5.10009 -8.04749 -4.56757 -0.53252
-2 4 5 3.31112 3.35738 3.31112 3.27519 0.08219
2 3 8 -1.18274 -0.90635 -5.84473 -1.50916 0.60281
0 2 5 6.82743 7.10258 -3.28016 6.49401 0.60857
0 4 8 0.86592 0.99710 0.86592 0.92284 0.07426
-1 1 12 6.35914 6.53755 -5.15930 6.04753 0.49002
-1 2 7 5.52065 5.38483 -5.62500 5.50873 -0.12390
-2 3 11 3.62293 3.70959 -6.22070 3.40303 0.30655
-2 3 6 6.68766 6.80187 -11.43799 6.68308 0.11879
-1 4 9 4.43225 3.91140 4.43225 5.01687 -1.10547
-2 4 7 4.92401 4.88045 4.92401 5.07523 -0.19478
0 1 8 -2.28297 -2.91304 -13.33258 -1.62833 -1.28471
2 2 4 0.42679 0.27267 -6.01807 0.54638 -0.27370
0 2 7 -3.55421 -3.73899 0.23951 -3.92477 0.18578
0 4 14 -5.81802 -6.53366 -5.81802 -4.86633 -1.66733
-2 2 5 4.53772 4.55796 -12.46765 4.35356 0.20441
-1 3 8 4.78693 4.77480 -6.17889 4.78867 -0.01387
-2 4 1 0.52963 0.47440 0.52963 0.46684 0.00755
0 1 10 -2.86343 -2.69154 -1.63861 -2.99442 0.30289
-1 4 2 2.38403 2.16646 2.38403 2.34806 -0.18161
-1 2 3 -3.18940 -3.28799 -6.39465 -3.09695 -0.19103
-2 3 10 1.80202 1.94229 -12.48901 1.56120 0.38109
-1 1 3 -3.28382 -3.44842 -6.73340 -2.77020 -0.67822
2 1 7 -2.94178 -3.12523 -3.46497 -2.74902 -0.37621
-2 4 3 -2.93008 -2.93151 -2.93008 -2.91249 -0.01902
2 1 6 -4.57971 -4.97168 -6.73645 -4.19039 -0.78129
0 1 12 5.73105 6.10449 -1.11783 5.40507 0.69942
0 4 2 1.13382 1.10000 1.13382 1.15352 -0.05351
1 3 7 -3.95008 -4.04608 -4.09302 -3.77050 -0.27557
-1 2 1 0.69592 0.57484 -4.80347 0.57058 0.00425
-2 3 12 2.41598 2.67297 -9.01123 2.00195 0.67102
-1 3 12 5.30019 5.39442 -3.89893 5.04868 0.34575
-2 1 1 -3.14987 -3.16643 -11.19934 -3.26447 0.09804
2 4 8 -3.84768 -3.68027 -3.84768 -4.27024 0.58998
-2 4 13 -0.93842 -1.16562 -0.93842 -0.87341 -0.29221
-1 1 1 2.06432 2.05521 -6.49231 2.06612 -0.01091
