wheel station sector hw_x sw_x1 sw_x2 sw_x3 sw_dx13
2 1 2 1.83998 1.52138 -7.17468 2.21396 -0.69258
1 2 8 0.96032 -0.62710 -5.43060 2.45010 -3.07720
0 1 7 -3.19721 -3.32382 5.21398 -3.06866 -0.25517
1 1 7 -2.18849 -0.95303 -4.59106 -3.29006 2.33704
-2 2 3 -5.81409 -6.74678 -10.45105 -5.21368 -1.53310
1 4 4 -3.72742 -2.90176 -3.72742 -4.78561 1.88385
2 1 8 -0.43570 -0.05753 -5.74463 -0.77903 0.72150
0 1 11 -4.87695 -2.99882 -0.64047 -6.85181 3.85299
1 2 10 -4.67999 -4.44809 -6.65100 -4.95924 0.51115
-1 3 10 5.42452 5.17992 -4.52606 5.79618 -0.61626
1 2 5 -3.91023 -5.11686 -1.63452 -2.76793 -2.34893
-2 1 3 -5.81261 -6.24488 -11.59607 -5.36539 -0.87948
0 2 1 -1.70515 -1.63736 -2.84493 -2.06839 0.43102
-2 2 11 3.57195 6.63407 -9.06311 0.45771 6.17636
-2 3 2 -3.66688 -2.70235 -10.68237 -5.04324 2.34089
2 1 12 -5.27114 -4.39102 -9.29077 -6.22685 1.83583
0 2 3 6.85203 7.73168 2.15018 5.21564 2.51604
-1 4 3 2.24423 1.86978 2.24423 2.75163 -0.88185
-1 2 9 1.44835 0.87274 -6.24298 1.89761 -1.02487
-1 3 4 1.52596 1.99850 -9.86877 0.77736 1.22114
-2 2 2 -4.77415 -4.10094 -8.04749 -5.57602 1.47508
-2 4 5 3.31112 3.47223 3.31112 3.11632 0.35591
2 3 8 -1.18274 -0.91290 -5.84473 -1.50015 0.58726
0 2 5 6.82743 7.13116 -3.28016 6.46517 0.66599
0 4 8 0.86592 0.46417 0.86592 1.65869 -1.19452
-1 1 12 6.35914 6.35637 -5.15930 6.23157 0.12480
-1 2 7 5.52065 6.45594 -5.62500 4.42760 2.02833
-2 3 11 3.62293 4.29467 -6.22070 2.60056 1.69411
-2 3 6 6.68766 7.18010 -11.43799 6.16431 1.01579
-1 4 9 4.43225 5.68343 4.43225 2.56979 3.11364
-2 4 7 4.92401 5.10818 4.92401 4.76074 0.34744
0 1 8 -2.28297 -2.09370 -13.33258 -2.46065 0.36696
2 2 4 0.42679 0.45441 -6.01807 0.36293 0.09148
0 2 7 -3.55421 -3.75608 0.23951 -3.90753 0.15144
0 4 14 -5.81802 -5.17776 -5.81802 -6.73859 1.56082
-2 2 5 4.53772 5.72454 -12.46765 3.17617 2.54837
-1 3 8 4.78693 3.68110 -6.17889 6.28902 -2.60791
